SI,Name,Manufacturer,Location,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Year,Kilometers_Driven
0,Maruti Wagon R LXI CNG,Maruti,Mumbai,CNG,Manual,First,998,58.16,5,26.6,1.75,2010,72000
1,Hyundai Creta 1.6 CRDi SX Option,Hyundai,Pune,,Manual,First,1582,,5,19.67,12.5,2015,41000
2,Honda Jazz V,Honda,Chennai,Petrol,Manual,First,1199,88.7,5,18.2,4.5,,46000
3,Maruti Ertiga VDI,Maruti,Chennai,Diesel,Manual,First,1248,88.76,7,20.77,6,2012,87000
4,Audi A4 New 2.0 TDI Multitronic,Audi,Coimbatore,Diesel,Automatic,Second,1968,140.8,5,15.2,17.74,2013,40670
5,Hyundai EON LPG Era Plus Option,Hyundai,Hyderabad,LPG,Manual,First,814,55.2,5,21.1,2.35,2012,75000
6,Nissan Micra Diesel XV,Nissan,Jaipur,Diesel,Manual,First,1461,63.1,5,23.08,3.5,2013,86999
7,Toyota Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,,Automatic,First,2755,171.5,8,11.36,17.5,2016,36000
8,Volkswagen Vento Diesel Comfortline,Volkswagen,Pune,Diesel,Manual,First,1598,103.6,5,20.54,5.2,2013,64430
9,Tata Indica Vista Quadrajet LS,Tata,Chennai,Diesel,Manual,,1248,,5,22.3,1.95,2012,65932
10,Maruti Ciaz Zeta,Maruti,Kochi,Petrol,Manual,First,1462,103.25,5,21.56,9.95,2018,25692
11,Honda City 1.5 V AT Sunroof,Honda,,Petrol,Automatic,First,1497,116.3,5,16.8,4.49,2012,60000
12,Maruti Swift VDI BSIV,Maruti,Jaipur,Diesel,Manual,,1248,74,5,25.2,5.6,2015,64424
13,Land Rover Range Rover 2.2L Pure,Land,Delhi,,Automatic,First,2179,187.7,5,12.7,27,2014,72000
14,Land Rover Freelander 2 TD4 SE,Land,Pune,Diesel,Automatic,Second,2179,115,5,0,17.5,2012,85000
15,Mitsubishi Pajero Sport 4X4,Mitsubishi,Delhi,Diesel,Manual,First,2477,175.56,7,13.5,15,2014,110000
16,Honda Amaze S i-Dtech,Honda,Kochi,Diesel,,First,1498,,5,25.8,5.4,,58950
17,Maruti Swift DDiS VDI,Maruti,Jaipur,Diesel,Manual,First,1248,74,5,28.4,5.99,2017,25000
18,Renault Duster 85PS Diesel RxL Plus,Renault,Kochi,Diesel,Manual,First,1461,83.8,5,20.45,6.34,2014,77469
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,MercedesBenz,Bangalore,Diesel,,First,2143,167.62,5,14.84,,2014,78500
20,BMW 3 Series 320d,BMW,,,Automatic,First,1995,190,5,,18.55,2014,32982
21,Maruti S Cross DDiS 200 Alpha,Maruti,Bangalore,Diesel,Manual,Second,1248,88.5,5,23.65,8.25,2015,55392
22,Audi A6 2011-2015 35 TFSI Technology,Audi,Mumbai,Petrol,Automatic,First,1984,177.01,,13.53,23.5,,
23,Hyundai i20 1.2 Magna,Hyundai,Kolkata,Petrol,Manual,First,1197,80,5,18.5,1.87,2010,45807
24,Volkswagen Vento Petrol Highline AT,Volkswagen,Kolkata,Petrol,Automatic,First,1598,103.6,5,14.4,2.85,2010,33000
25,Honda City Corporate Edition,Honda,Mumbai,Petrol,Manual,First,1497,116.3,5,16.8,4.25,2012,51920
26,Nissan Micra Diesel XV,Nissan,Hyderabad,Diesel,Manual,First,1461,63.1,5,23.08,4.25,2012,54000
27,Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,Petrol,Manual,Second,998,67.1,5,20.92,2.75,2013,54000
28,Honda WRV i-VTEC VX,Honda,Kochi,Petrol,Manual,First,1199,88.7,5,17.5,9.9,2018,37430
29,Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,Diesel,Manual,Fourth,2494,102,7,12.8,4,2007,262000
30,Renault Duster 110PS Diesel RxZ Pack,Renault,Bangalore,Diesel,Manual,First,1461,108.45,5,19.01,7.75,2013,62000
31,Toyota Corolla Altis G,Toyota,Delhi,Petrol,Manual,First,1798,138.1,5,14.53,6.75,2012,87615
32,Mahindra Ssangyong Rexton RX7,Mahindra,Bangalore,Diesel,Automatic,Second,2696,184,7,11.18,12.5,2013,72000
33,Audi A6 2.7 TDI,Audi,Kolkata,Diesel,Automatic,First,2698,179.5,5,12.4,11.5,2010,35000
34,Volkswagen Vento 1.6 Highline,Volkswagen,Coimbatore,Petrol,Manual,Second,1598,103.5,5,16.09,6.98,2014,55431
35,Maruti Wagon R LXI BSIII,Maruti,Jaipur,Petrol,Manual,Second,1061,64,5,14,1.85,2009,83816
36,Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,Diesel,Manual,First,1248,88.5,5,24.3,8.63,2018,50075
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Delhi,Petrol,Manual,First,1198,82,5,18.15,4.85,2017,52000
38,Mercedes-Benz M-Class ML 350 CDI,MercedesBenz,Pune,Diesel,Automatic,First,2987,254.8,5,11.74,28,2013,85000
39,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Chennai,Diesel,Manual,First,1199,73.9,5,22.07,5,2013,62000
40,Maruti Alto LXi,Maruti,Delhi,Petrol,Manual,Second,796,46.3,5,19.7,1.25,2008,90000
41,Tata Nano LX SE,Tata,Kochi,Petrol,Manual,First,624,37.5,4,25.4,1.53,2014,19698
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,Diesel,Manual,First,1198,77,6,25.32,5.58,2017,22033
43,Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,Petrol,Manual,First,1197,82.9,5,18.5,4.74,2014,35487
44,Hyundai Elantra 2.0 SX Option AT,Hyundai,Bangalore,Petrol,Automatic,First,1999,149.92,5,14.62,8.85,2014,46374
45,Toyota Corolla Altis G AT,Toyota,Mumbai,Petrol,Automatic,First,1798,138.03,5,14.28,10.11,2016,52001
46,Hyundai Elantra CRDi,Hyundai,Ahmedabad,Diesel,Manual,Second,1991,112.2,5,14.9,4.25,2008,58005
47,Toyota Innova Crysta 2.7 GX MT,Toyota,Bangalore,Petrol,Manual,First,2694,163.7,7,11.25,10.95,2012,70704
48,Hyundai Xcent 1.1 CRDi S,Hyundai,Jaipur,Diesel,Manual,First,1120,71,5,24.4,3.85,2014,75000
49,Mahindra Thar CRDe AC,Mahindra,Jaipur,Diesel,Manual,Second,2498,105,6,16.55,5.5,2012,75800
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,Diesel,Automatic,First,1968,174.33,5,17.11,21.43,2015,13648
51,Maruti Swift LDI,Maruti,Delhi,Diesel,Manual,First,1248,74,5,22.9,4.25,2014,52000
52,Maruti Swift Ldi BSIV,Maruti,Kolkata,Diesel,Manual,First,1248,75,5,17.8,3.3,2014,53000
53,Maruti Swift VDI,Maruti,Delhi,Diesel,Manual,First,1248,74,5,28.4,3.85,2013,65650
54,Hyundai Grand i10 Sportz,Hyundai,Chennai,Petrol,Manual,Third,1197,82,5,18.9,3.6,2015,54000
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Kolkata,Petrol,Manual,First,1598,103.2,5,15.04,3.99,2015,39000
56,Renault KWID RXT,Renault,Kochi,Petrol,Manual,First,799,53.3,5,25.17,3.3,2017,16542
57,Hyundai i10 Asta,Hyundai,Kolkata,Petrol,Manual,First,1197,78.9,5,20.36,2.07,2010,32000
58,Nissan X-Trail SLX AT,Nissan,Hyderabad,Diesel,Automatic,First,1995,147.6,5,13.29,7.75,2010,121812
59,Maruti Zen Estilo VXI BSIII,Maruti,Hyderabad,Petrol,Manual,First,998,67.1,5,18.2,2.25,2010,39300
60,Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,Diesel,Manual,First,2393,147.8,8,13.68,16.5,2017,22000
61,Ford Figo Diesel Titanium,Ford,Bangalore,Diesel,Manual,First,1399,68,5,20,2.75,2010,72000
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,MercedesBenz,Delhi,Petrol,Automatic,First,1796,186,5,11.74,26.7,2015,58000
63,Mercedes-Benz New C-Class 200 CDI Classic,MercedesBenz,Pune,Diesel,Manual,Second,2148,170,5,15.8,10,2011,65000
64,Tata Indica V2 eLS,Tata,Chennai,Diesel,Manual,First,1396,69,5,25,2.5,2016,178000
